Name,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
ARS1_1,2,0.1480109,0.155496426,0.382118442,0.200246171,0.134711265,0.134943054,0.137943294,0.194465858
ARS1_1,2,0.146851817,0.152496302,0.384573095,0.209628833,0.132658691,0.133362858,0.134933884,0.189121708
ARS1_1,2,0.146707854,0.15182511,0.379374842,0.212165966,0.132545886,0.131926119,0.136007315,0.190389052
ARS1_1,2,0.146707854,0.150229713,0.379982879,0.206954463,0.13540424,0.129461053,0.13481534,0.191914261
ARS1_1,2,0.150667264,0.158150104,0.385497809,0.211486539,0.133566107,0.12934521,0.133519775,0.193699026
ARS1_1,2,0.147865297,0.146975282,0.37876801,0.208789568,0.132095553,0.131926119,0.135052646,0.1878569
ARS1_1,2,0.15021979,0.15303609,0.386115089,0.205299234,0.130866917,0.131926119,0.138432933,0.190389052
ARS1_1,2,0.150667264,0.15453352,0.379679061,0.208120394,0.132545886,0.132402709,0.135409658,0.187352161
ARS1_1,2,0.150816793,0.148786367,0.382118442,0.210133976,0.132095553,0.132045053,0.137334458,0.19064269
ARS1_1,2,0.150816793,0.153306995,0.383037129,0.201215217,0.130534288,0.132402709,0.137577571,0.188362485
ARS1_1,2,0.151567953,0.153714407,0.383037129,0.209797059,0.132433082,0.132522235,0.139419035,0.18886807
ARS1_1,2,0.152324444,0.150759056,0.377254549,0.203002557,0.133224962,0.133604342,0.137943294,0.19064269
ARS1_1,2,0.15171877,0.149440233,0.378464997,0.209965518,0.13459613,0.135065669,0.139048158,0.190897173
ARS1_1,2,0.15171877,0.149440233,0.380591719,0.204640544,0.128560372,0.133001717,0.140414355,0.191914261
ARS1_1,2,0.154627025,0.154123194,0.379071426,0.202025822,0.131647067,0.134332343,0.139791218,0.190897173
ARS1_1,2,0.155718843,0.153578387,0.376952339,0.205959788,0.134022708,0.133362858,0.137821266,0.188362485
ARS1_1,2,0.154162501,0.151024699,0.376650933,0.210133976,0.133452258,0.133967652,0.138187787,0.189628138
ARS1_1,2,0.152172689,0.146463103,0.372749128,0.202513723,0.133680037,0.133001717,0.138310324,0.188109693
ARS1_1,2,0.155093599,0.149047476,0.379071426,0.215939861,0.132545886,0.13543437,0.139667012,0.193188369
ARS1_1,2,0.15493786,0.153850507,0.383343759,0.20629088,0.132884862,0.135804387,0.140039994,0.189121708
ARS1_1,2,0.153699969,0.150626518,0.382118442,0.210978367,0.131312028,0.134576193,0.136608456,0.188109693
ARS1_1,2,0.157139192,0.153171462,0.37876801,0.213359856,0.132545886,0.133967652,0.138432933,0.188615277
ARS1_1,2,0.156032901,0.145699045,0.373646113,0.20761991,0.130423653,0.134332343,0.138432933,0.190897173
ARS1_1,2,0.154471988,0.15222734,0.373646113,0.202025822,0.132545886,0.135557512,0.139419035,0.189121708
